"","mdate","Mkt_Europe","Mkt_Global","Mkt_US","HML_Europe","HML_Global","HML_US","BAB_Europe","BAB_Global","BAB_US","SMB_Europe","SMB_Global","SMB_US","UMD_Europe","UMD_Global","UMD_US","RF","D.Recession","P.Recession"
"1",Jan 1990,-0.00686146523632791,-0.0536229530619273,-0.0770251074688342,-0.00277994307459554,0.029386980723208,0.0164892549627072,0.0222152547341561,0.0343036661970182,-0.00215064634463367,-0.0182827031868454,0.015227614359657,-0.00294976204664247,0.0023398238681431,-0.0119843443427489,-0.0241978696199331,0.57,0,0.1
"2",Feb 1990,-0.0311837341547089,-0.045722771133485,0.00968057326950554,-0.0117631453908047,-0.00736354703670598,-0.00889158438703166,0.00460568662874355,-0.000659478486509895,-0.0135223720073201,-0.0163461645669459,0.0162568739235072,0.00127943550660146,0.0116881816810563,0.0126284041984397,-0.00708151405927743,0.57,0,0.1
"3",Mar 1990,0.0111364413602848,-0.0673405603356246,0.0176584360879185,-0.0513831037054854,0.014016021139213,-0.0324419431157359,-0.0271765360827207,-0.00768568529680622,-0.00207742482446583,-0.00350188711857191,0.0150350294158882,0.0133093665063428,0.0178926608584777,0.021128359532668,0.0185461833134303,0.64,0,0.2
"4",Apr 1990,-0.035287985735996,-0.0342208678350377,-0.034827321757598,-0.00125852011013307,-0.00107541580972416,-0.0358544084286731,0.00897584318214208,-0.0358312394067756,-0.024583273116021,0.0351565438844367,-0.0295279462582116,-0.0021500725837872,-0.00996000503150821,-0.00825783586465038,0.0218925568111824,0.69,0,1.2
"5",May 1990,0.0653231468472531,0.100188159723299,0.083651173032225,0.0268861496196374,-0.0362170885360178,-0.0434868355803232,-0.00855094455092923,0.0067338548356809,-0.0200966362788974,-0.0106284885817318,0.00671690638005647,-0.0287629737018472,0.00354024783281439,-0.00268166070719134,0.0232877363320279,0.68,0,1.4
"6",Jun 1990,0.0341511955808436,-0.0100066001005071,-0.0113984122359195,0.0116445127709224,0.00965243598999586,-0.0194212334269025,0.0395860736568338,0.0595601339413657,0.0132681798166779,-0.00775804228712815,0.0238716474739855,0.0105674175073544,0.015537484219013,0.0440745804092064,0.0152654045275545,0.63,0,2.6
"7",Jul 1990,0.0435965535449745,0.00473520524617154,-0.0167568907200715,-0.0146258227094162,-0.00375360868163466,-0.00313043481369771,0.0372686113961208,0.0325368828150458,0.0046578270028978,-0.00997200050810973,0.00621536954011165,-0.0272408861290812,0.0319708953857673,0.041421109946326,0.0497141596080844,0.68,0,9
"8",Aug 1990,-0.105850644391167,-0.106471399373041,-0.0987839371567431,0.018610248233684,0.00597777249387547,0.0110764174097365,0.00765836167131168,-0.027881156400014,-0.0207432441058115,-0.0087142560818132,-0.0272124572319033,-0.0301811531730296,0.0213604518958085,0.020570856991773,0.023093939597681,0.66,1,17.9
"9",Sep 1990,-0.119843627039833,-0.117458502250221,-0.060410465748099,-0.0164454840401412,0.00741564525848776,-0.0164148346641277,-0.0133347139113563,-0.0115753262215341,0.000501540111591005,-0.0242776094942899,-0.0290128295363979,-0.0317386689769666,0.0214643898410998,0.0122402508336494,0.0559147171496407,0.6,1,35.9
"10",Oct 1990,0.0739050045946214,0.0975716117066315,-0.0198109808394602,-0.0172154307736373,-0.0166963721457366,-0.0341107482369211,0.00504587261705604,-0.0383767606690867,-0.040539769653218,-0.00621210244466545,0.00967781941294319,-0.0450943084378329,0.0121598753348139,-0.00938151187057153,0.0603714411543131,0.68,1,58.3
"11",Nov 1990,-0.00226844493882103,-0.0366207149602956,0.060796452283717,0.00964312168608885,0.0106164412929837,-0.00215886510801742,-0.0199862753713058,-0.0418697374400268,-0.0511693243516066,-0.0189489023610023,-0.0194810096156463,-0.012367379750722,0.0042476904032727,-0.00594447710505028,-0.0434567016240247,0.57,1,62.1
